zip_code,school_name,school_rating,grade_levels,percent_low_income
23704,I.C. Norcom High School,3.0,9-12,56
23701,Woodrow Wilson High School,3.0,9-12,52
22192,Gar-Field High School,3.0,9-12,58
22192,Woodbridge High School,3.0,9-12,34
24017,William Fleming High School,3.0,9-12,92
22407,Massaponax High School,3.0,9-12,31
24401,Robert E. Lee High School,3.0,9-12,42
23890,Sussex Central High School,3.0,9-12,77
23455,Bayside High School,3.0,9-12,49
23453,Green Run High School,3.0,9-12,49
22520,Washington & Lee High School,3.0,9-12,67
23188,Lafayette High School,3.0,9-12,31
22191,Freedom High School,3.0,9-12,64
23417,Nandua High School,2.0,9-12,55
22302,T.C. Williams High School,2.0,9-12,44
24614,Hurley High School,2.0,8-12,73
24517,Altavista High School,2.0,6-12,44
23234,Meadowbrook High School,2.0,9-12,46
24541,George Washington High School,2.0,9-12,92
23841,Dinwiddie Senior High School,2.0,9-12,42
20170,Herndon High School,2.0,9-12,34
22150,Lee High School,2.0,9-12,50
23663,Phoebus High School,2.0,9-12,53
22801,Harrisonburg High School,2.0,9-12,66
23227,Henrico High School,2.0,9-12,51
23860,Hopewell High School,2.0,9-12,63
20164,Park View High School,2.0,9-12,59
23974,Central High School,2.0,9-12,59
20110,Osbourn High School,2.0,9-12,48
20111,Manassas Park High School,2.0,9-12,49
23502,Lake Taylor High School,2.0,9-12,55
23901,Prince Edward County High School,2.0,9-12,54
20109,Stonewall Jackson High School,2.0,9-12,52
22026,Potomac High School,2.0,9-12,44
23230,Thomas Jefferson High School,2.0,9-12,96
23227,John Marshall High School,2.0,9-12,97
23225,Huguenot High School,2.0,9-12,98
22551,Spotsylvania High School,2.0,9-12,39
23434,Lakeland High School,2.0,9-12,51
22980,Waynesboro High School,2.0,9-12,50
23434,King's Fork High School,2.0,9-12,43
22204,Arlington Mill High School,2.0,9-12,18
22309,Mount Vernon High School,1.0,9-12,49
22401,James Monroe High School,1.0,9-12,41
24502,Heritage High School,1.0,9-12,54
23805,Petersburg High School,1.0,9-12,97
23225,George Wythe High School,1.0,9-12,98
23223,Armstrong High School,1.0,9-12,95
22901,Charlottesville-Albemarle Tech,,Ungraded,
24426,Jackson River Tech Center,,Ungraded,
22801,Massanutten Tech Center,,Ungraded,
22939,Valley Vocational Tech Center,,Ungraded,
23608,Woodside Campus,,Ungraded,
23666,Butler Farm Campus,,Ungraded,
23434,Pruden Center For Indus/Tech,,Ungraded,
23830,Rowanty Vocational Tech Center,,Ungraded,
22572,Northern Neck Technical Center,,Ungraded,
