zip_code,school_name,school_rating,grade_levels,percent_low_income
24551,Forest Elementary School,6.0,K-5,9
24315,Bland Elementary School,6.0,PK-6,39
24502,Leesville Road Elementary School,6.0,PK-5,44
24328,Fancy Gap Elementary School,6.0,PK-5,49
24343,Hillsville Elementary School,6.0,PK-5,61
24333,Oakland Elementary School,6.0,PK-5,78
23959,Phenix Elementary School,6.0,PK-5,53
23321,Edwin W. Chittum Elementary School,6.0,PK-5,10
23323,Deep Creek Central Elementary School,6.0,PK-5,19
23235,Bon Air Elementary School,6.0,PK-5,31
23831,Child Care Wells Elementary School,6.0,PK-5,29
23225,Crestwood Elementary School,6.0,PK-5,55
23112,Clover Hill Elementary School,6.0,PK-5,16
23236,Providence Elementary School,6.0,PK-5,49
23834,North Elementary School,6.0,PK-5,64
24228,Clintwood Elementary School,6.0,PK-5,53
23841,Southside Elementary School,6.0,PK-5,81
23872,Sunnyside Elementary School,6.0,K-5,64
22312,Bren Mar Park Elementary School,6.0,PK-5,61
22310,Bush Hill Elementary School,6.0,PK-6,25
22310,Clermont Elementary School,6.0,PK-6,15
22031,Fairhill Elementary School,6.0,PK-6,21
22310,Franconia Elementary School,6.0,PK-6,27
22101,Sherman Elementary School,6.0,PK-6,2
22033,Greenbriar East Elementary School,6.0,PK-6,20
22033,Greenbriar West Elementary School,6.0,PK-6,11
22032,Laurel Ridge Elementary School,6.0,PK-6,8
22180,Marshall Road Elementary School,6.0,PK-6,19
22032,Oak View Elementary School,6.0,PK-6,6
22152,Rolling Valley Elementary School,6.0,PK-6,21
22043,Shrevewood Elementary School,6.0,PK-6,21
22044,Sleepy Hollow Elementary School,6.0,PK-5,59
22315,Lane Elementary School,6.0,PK-6,20
22015,White Oaks Elementary School,6.0,PK-6,13
22039,Silverbrook Elementary School,6.0,PK-6,7
22046,Thomas Jefferson Elementary School,6.0,2-5,7
22712,Grace Miller Elementary School,6.0,PK-5,32
24184,Dudley Elementary School,6.0,PK-5,43
24151,Lee M. Waid Elementary School,6.0,PK-5,64
24124,Narrows Elementary/Middle School,6.0,PK-7,57
23072,Abingdon Elementary School,6.0,PK-5,43
23072,Achilles Elementary School,6.0,PK-5,41
23063,Byrd Elementary School,6.0,PK-5,42
23063,Goochland Elementary School,6.0,PK-5,24
23039,Randolph Elementary School,6.0,PK-5,26
24348,Independence Elementary School,6.0,K-5,65
23669,Samuel P. Langley Elementary School,6.0,PK-5,46
23666,Tucker-Capps Elementary School,6.0,PK-5,31
23111,Battlefield Park Elementary School,6.0,PK-5,13
23231,Baker Elementary School,6.0,PK-5,66
23223,Adams Elementary School,6.0,PK-5,80
23238,Pemberton Elementary School,6.0,PK-5,22
23238,Pinchbeck Elementary School,6.0,PK-5,37
23294,Longan Elementary School,6.0,PK-5,53
23060,Springfield Park Elementary School,6.0,PK-5,24
23487,Windsor Elementary School,6.0,PK-5,49
23110,King & Queen Elementary School,6.0,PK-7,50
22485,Potomac Elementary School,6.0,K-6,32
23086,Acquinton Elementary School,6.0,3-5,34
24277,Elk Knob Elementary School,6.0,PK-5,72
24263,Flatwoods Elementary School,6.0,PK-5,69
20147,Ashburn Elementary School,6.0,PK-5,13
20158,Hamilton Elementary School,6.0,PK-5,5
20164,Meadowland Elementary School,6.0,PK-5,39
23117,Jouett Elementary School,6.0,PK-5,45
