zip_code,school_name,school_rating,grade_levels,percent_low_income
24134,Macy McClaugherty Elementary/Middle School,5.0,PK-7,55
24136,Eastern Elementary/Middle School,5.0,PK-7,48
23063,Goochland Middle School,5.0,6-8,24
24348,Independence Middle School,5.0,6-8,62
23669,Benjamin Syms Middle School,5.0,6-8,72
23661,C. Alton Lindsay Middle School,5.0,6-8,79
23666,Thomas Eaton Middle School,5.0,6-8,45
23005,Liberty Middle School,5.0,6-8,31
23111,Stonewall Jackson Middle School,5.0,6-8,20
23228,Moody Middle School,5.0,6-8,21
23229,Tuckahoe Middle School,5.0,6-8,26
24078,Fieldale-Collinsville Middle School,5.0,6-8,62
24465,Highland High School,5.0,6-12,68
23430,Smithfield Middle School,5.0,7-8,37
23148,Lawson-Marriott Elementary School,5.0,PK-7,45
22485,King George Middle School,5.0,7-8,34
23086,Hamilton Holmes Middle School,5.0,6-8,37
24450,Lylburn Downing Middle School,5.0,6-8,21
20175,J. Lupton Simpson Middle School,5.0,6-8,19
23117,Louisa County Middle School,5.0,6-8,44
23974,Lunenburg Middle School,5.0,6-8,68
22727,William H. Wetsel Middle School,5.0,6-8,39
23109,Thomas Hunter Middle School,5.0,5-8,44
24073,Christiansburg Middle School,5.0,6-8,41
22949,Nelson Middle School,5.0,6-8,49
23517,Blair Middle School,5.0,6-8,56
23505,Crossroads School,5.0,PK-8,58
23517,Ghent Elementary School,5.0,K-8,28
23503,Northside Middle School,5.0,6-8,65
22960,Prospect Heights Middle School,5.0,6-8,43
24082,Hardin Reynolds Elementary School,5.0,4-7,58
24586,Dan River Middle School,5.0,6-8,58
23875,N.B. Clements Junior High School,5.0,8-9,37
22191,Rippon Middle School,5.0,6-8,63
22191,Woodbridge Middle School,5.0,6-8,48
20112,Herbert J. Saunders Middle School,5.0,6-8,27
24141,John N. Dalton Intermediate School,5.0,7-8,40
22747,Rappahannock County Elementary School,5.0,PK-7,34
24016,Addison Aerospace Magnet Middle School,5.0,6-8,99
24012,Breckinridge Middle School,5.0,6-8,98
24015,Woodrow Wilson Middle School,5.0,6-8,57
24019,Northside Middle School,5.0,6-8,33
22821,Wilbur S. Pence Middle School,5.0,6-8,37
22846,Montevideo Middle School,5.0,6-8,39
24224,Castlewood Elementary School,5.0,1-7,71
24153,Andrew Lewis Middle School,5.0,6-8,31
22407,Chancellor Middle School,5.0,6-8,46
22406,T. Benton Gayle Middle School,5.0,6-8,27
23462,Larkspur Middle School,5.0,6-8,50
23168,Toano Middle School,5.0,6-8,23
24149,Auburn Middle School,5.0,6-8,35
22701,Floyd T Binns Middle School,5.0,6-8,48
20165,River Bend Middle School,5.0,6-8,18
20187,Auburn Middle School,5.0,6-8,10
22939,Wilson Middle School,5.0,6-8,36
24330,Fries School,5.0,PK-7,76
24378,Grayson Highlands School,5.0,PK-7,71
23661,Hunter B. Andrews,5.0,PK-8,84
20158,Harmony Middle School,5.0,6-8,8
24588,Rustburg Middle School,5.0,6-8,44
22901,Jack Jouett Middle School,4.0,6-8,46
22903,Leslie H Walton Middle School,4.0,6-8,40
22911,Mortimer Y Sutherland Middle School,4.0,6-8,15
24426,Clifton Middle School,4.0,6-8,49
23002,Amelia County Middle School,4.0,5-8,47
22204,Kenmore Middle School,4.0,6-8,49
24437,S Gordon Stewart Middle School,4.0,6-8,32
24401,Beverley Manor Middle School,4.0,6-8,38
24523,Bedford Middle School,4.0,6-8,48
22443,Colonial Beach Elementary School,4.0,PK-7,67
